id	message
OFFSET_PEER_ID_INVALID	The provided offset peer is invalid
OPTION_INVALID	The option specified is invalid and does not exist in the target poll
PACK_SHORT_NAME_INVALID	Invalid sticker pack name. It must begin with a letter, can't contain consecutive underscores and must end in "_by_<bot username>".
PACK_SHORT_NAME_OCCUPIED	A sticker pack with this name already exists
PARTICIPANTS_TOO_FEW	The chat doesn't have enough participants
PARTICIPANT_VERSION_OUTDATED	The other participant is using an outdated Telegram app version
PASSWORD_MISSING	The account is missing the two-step verification password
PASSWORD_REQUIRED	The two-step verification password is required for this method
PASSWORD_TOO_FRESH_X	The two-step verification password was added recently and you are required to wait {x} seconds
PAYMENT_PROVIDER_INVALID	The payment provider was not recognised or its token was invalid
PEER_ID_NOT_SUPPORTED	The provided peer id is not supported
PERSISTENT_TIMESTAMP_INVALID	The persistent timestamp is invalid
PHONE_NUMBER_APP_SIGNUP_FORBIDDEN	You can't sign up using this app
PHONE_PASSWORD_PROTECTED	The phone is password protected
PHOTO_CROP_SIZE_SMALL	The photo is too small
PHOTO_ID_INVALID	The photo id is invalid
PHOTO_INVALID	The photo is invalid
PHOTO_SAVE_FILE_INVALID	The photo you tried to send cannot be saved by Telegram. A reason may be that it exceeds 10 MB. Try resizing it locally
PIN_RESTRICTED	You can't pin messages in private chats with other people
POLL_OPTION_DUPLICATE	A duplicate option was sent in the same poll
POLL_OPTION_INVALID	A poll option used invalid data (the data may be too long)
POLL_UNSUPPORTED	This layer does not support polls in the invoked method
PRIVACY_KEY_INVALID	The privacy key is invalid
PRIVACY_VALUE_INVALID	The privacy value is invalid
QUERY_ID_EMPTY	The query ID is empty
RANDOM_ID_INVALID	The provided random ID is invalid
RANDOM_LENGTH_INVALID	The random length is invalid
RANGES_INVALID	Invalid range provided
REACTION_EMPTY	The reaction provided is empty
REACTION_INVALID	Invalid reaction provided (only emoji are allowed)
REPLY_MARKUP_GAME_EMPTY	The provided reply markup for the game is empty
REPLY_MARKUP_INVALID	The provided reply markup is invalid
RESULT_ID_INVALID	The given result cannot be used to send the selection to the bot
RSA_DECRYPT_FAILED	Internal RSA decryption failed
SCHEDULE_BOT_NOT_ALLOWED	Bots are not allowed to schedule messages
SCHEDULE_DATE_TOO_LATE	The date you tried to schedule is too far in the future (more than one year)
SCHEDULE_STATUS_PRIVATE	You cannot schedule a message until the person comes online if their privacy does not show this information
SCHEDULE_TOO_MUCH	You cannot schedule more than 100 messages in this chat
SEND_MESSAGE_MEDIA_INVALID	The message media is invalid
SEND_MESSAGE_TYPE_INVALID	The message type is invalid
SESSION_TOO_FRESH_X	You can't do this action because the current session was logged-in recently
SHA256_HASH_INVALID	The provided SHA256 hash is invalid
SHORTNAME_OCCUPY_FAILED	An error occurred when trying to register the short-name used for the sticker pack. Try a different name
START_PARAM_EMPTY	The start parameter is empty
STICKERS_EMPTY	The sticker provided is empty
STICKER_DOCUMENT_INVALID	The sticker document is invalid
STICKER_EMOJI_INVALID	The sticker emoji is invalid
STICKER_FILE_INVALID	The sticker file is invalid
STICKER_ID_INVALID	The provided sticker id is invalid
STICKER_INVALID	The provided sticker is invalid
STICKER_PNG_DIMENSIONS	The sticker png dimensions are invalid
STICKER_PNG_NOPNG	Stickers must be png files but the provided image was not a png
TEMP_AUTH_KEY_EMPTY	The temporary auth key provided is empty
THEME_MIME_INVALID	You cannot create this theme because the mime-type is invalid
TMP_PASSWORD_DISABLED	The temporary password is disabled
TOKEN_INVALID	The provided token is invalid
TTL_DAYS_INVALID	The provided TTL days is invalid
TYPES_EMPTY	The types parameter is empty
UNTIL_DATE_INVALID	That date parameter is invalid
URL_INVALID	The URL provided is invalid
USER_BLOCKED	The user is blocked
USER_BOT	Bots in channels can only be administrators, not members.
USER_BOT_INVALID	This method can only be used by a bot
USER_CREATOR	You can't leave this channel because you're its creator
USER_INVALID	The provided user is invalid
USER_KICKED	This user was kicked from this chat
VIDEO_CONTENT_TYPE_INVALID	The video content type is invalid (i.e.: not streamable)
WALLPAPER_FILE_INVALID	The provided file cannot be used as a wallpaper
WALLPAPER_INVALID	The input wallpaper was not valid
WC_CONVERT_URL_INVALID	WC convert URL invalid
